Applicant,ຜູ້ສະຫມັກ,
Applicant Type,ປະເພດຜູ້ສະຫມັກ,
Loan Amount cannot exceed Maximum Loan Amount of {0},ຈໍານວນເງິນກູ້ບໍ່ເກີນຈໍານວນເງິນກູ້ສູງສຸດຂອງ {0},
Loan Application,Application Loan,
Loan Management,ການຄຸ້ມຄອງເງິນກູ້,
Loan Repayment,ການຊໍາລະຫນີ້,
Monthly Repayment Amount cannot be greater than Loan Amount,ຈໍານວນເງິນຊໍາລະຄືນປະຈໍາເດືອນບໍ່ສາມາດຈະຫຼາຍກ່ວາຈໍານວນເງິນກູ້,
Payable Amount,ຈຳ ນວນທີ່ຕ້ອງຈ່າຍ,
Payment Date,ວັນທີ່ສະຫມັກການຊໍາລະເງິນ,
Please enter Repayment Periods,ກະລຸນາໃສ່ໄລຍະເວລາຊໍາລະຄືນ,
Please enter repayment Amount,ກະລຸນາໃສ່ຈໍານວນເງິນຊໍາລະຫນີ້,
Principal Amount,ຈໍານວນຜູ້ອໍານວຍການ,
Sanctioned Amount,ຈໍານວນເງິນທີ່ຖືກເກືອດຫ້າມ,
Approved,ການອະນຸມັດ,
Account {0} does not belong to company {1},ບັນຊີ {0} ບໍ່ໄດ້ຂຶ້ນກັບບໍລິສັດ {1},
Add Loan Security,ເພີ່ມຄວາມປອດໄພເງິນກູ້,
Against Loan,ຕໍ່ການກູ້ຢືມເງິນ,
Against Loan:,ຕໍ່ການກູ້ຢືມເງິນ:,
Amount paid cannot be zero,ຈຳ ນວນເງິນທີ່ຈ່າຍບໍ່ສາມາດເປັນສູນ,
Cannot create loan until application is approved,ບໍ່ສາມາດສ້າງເງິນກູ້ໄດ້ຈົນກວ່າຈະມີການອະນຸມັດ,
Loan Amount exceeds maximum loan amount of {0} as per proposed securities,ຈຳ ນວນເງິນກູ້ ຈຳ ນວນເກີນ ຈຳ ນວນເງິນກູ້ສູງສຸດຂອງ {0} ຕາມການສະ ເໜີ ຫຼັກຊັບ,
Loan Disbursement,ການເບີກຈ່າຍເງິນກູ້,
Loan Security,ເງິນກູ້ຄວາມປອດໄພ,
Loan Security Pledge,ສັນຍາຄວາມປອດໄພເງິນກູ້,
Loan Security Pledge Created : {0},ສັນຍາຄວາມປອດໄພດ້ານເງິນກູ້ສ້າງຂື້ນ: {0},
Loan Security Price,ລາຄາຄວາມປອດໄພຂອງເງິນກູ້,
Loan Security Price overlapping with {0},ລາຄາຄວາມປອດໄພຂອງເງິນກູ້ຄ້ ຳ ຊ້ອນກັນກັບ {0},
Loan Security Unpledge,ຄຳ ກູ້ຄວາມປອດໄພຂອງເງິນກູ້,
Loan Security Value,ມູນຄ່າຄວາມປອດໄພຂອງເງິນກູ້,
Loan amount cannot be greater than {0},ຈຳ ນວນເງິນກູ້ບໍ່ສາມາດໃຫຍ່ກວ່າ {0},
Loan is mandatory,ການກູ້ຢືມແມ່ນ ຈຳ ເປັນ,
Penalty Amount,ຈຳ ນວນໂທດ,
Please select Applicant Type first,ກະລຸນາເລືອກປະເພດຜູ້ສະ ໝັກ ກ່ອນ,
Please select Loan Type for company {0},ກະລຸນາເລືອກປະເພດເງິນກູ້ ສຳ ລັບບໍລິສັດ {0},
Pledge Status,ສະຖານະສັນຍາ,
Pledge Time,ເວລາສັນຍາ,
Proposed Pledges are mandatory for secured Loans,ຂໍ້ສະ ເໜີ ທີ່ເປັນສັນຍາແມ່ນມີຄວາມ ຈຳ ເປັນ ສຳ ລັບເງິນກູ້ທີ່ໄດ້ຮັບປະກັນ,
